Time,x,ppb,ppb_bias
2025/2/7 00:00,0,1.95302735,301.9530274
2025/2/7 00:01,0.02,4.99381762,304.9938176
2025/2/7 00:02,0.03,-8.963577717,291.0364223
2025/2/7 00:03,0.05,3.424702641,303.4247026
2025/2/7 00:04,0.07,23.11087965,323.1108797
2025/2/7 00:05,0.08,-2.092399704,297.9076003
2025/2/7 00:06,0.1,0.343592501,300.3435925
2025/2/7 00:07,0.12,0.407432296,300.4074323
2025/2/7 00:08,0.13,5.521335932,305.5213359
2025/2/7 00:09,0.15,2.541025469,302.5410255
2025/2/7 00:10,0.17,11.8750756,311.8750756
2025/2/7 00:11,0.18,10.12116121,310.1211612
2025/2/7 00:12,0.2,14.24050803,314.240508
2025/2/7 00:13,0.22,22.7177609,322.7177609
2025/2/7 00:14,0.23,14.72770647,314.7277065
2025/2/7 00:15,0.25,3.102143673,303.1021437
2025/2/7 00:16,0.27,18.87057321,318.8705732
2025/2/7 00:17,0.28,17.90289631,317.9028963
2025/2/7 00:18,0.3,11.31059741,311.3105974
2025/2/7 00:19,0.32,9.633962771,309.6339628
2025/2/7 00:20,0.33,5.608695652,305.6086957
2025/2/7 00:21,0.35,-0.435925005,299.564075
2025/2/7 00:22,0.37,-3.923593844,296.0764062
2025/2/7 00:23,0.38,3.629661985,303.629662
2025/2/7 00:24,0.4,-10.86197164,289.1380284
2025/2/7 00:25,0.42,-5.82198777,294.1780122
2025/2/7 00:26,0.43,-7.723741684,292.2762583
2025/2/7 00:27,0.45,0.037833479,300.0378335
2025/2/7 00:28,0.47,-19.31570459,280.6842954
2025/2/7 00:29,0.48,-12.59908608,287.4009139
2025/2/7 00:30,0.5,-28.13231638,271.8676836
2025/2/7 00:31,0.52,-4.588871716,295.4111283
2025/2/7 00:32,0.53,-34.10973725,265.8902628
2025/2/7 00:33,0.55,-30.85054768,269.1494523
2025/2/7 00:34,0.57,-16.7184329,283.2815671
2025/2/7 00:35,0.58,-8.506619179,291.4933808
2025/2/7 00:36,0.6,-26.68416101,273.315839
2025/2/7 00:37,0.62,-3.174316242,296.8256838
2025/2/7 00:38,0.63,-21.90289631,278.0971037
2025/2/7 00:39,0.65,-36.7809287,263.2190713
2025/2/7 00:40,0.67,-25.29984544,274.7001546
2025/2/7 00:41,0.68,-23.92896983,276.0710302
2025/2/7 00:42,0.7,-20.90161951,279.0983805
2025/2/7 00:43,0.72,-35.29917344,264.7008266
2025/2/7 00:44,0.73,-52.89207715,247.1079229
2025/2/7 00:45,0.75,-27.22511928,272.7748807
2025/2/7 00:46,0.77,-40.35931725,259.6406828
2025/2/7 00:47,0.78,-25.02432632,274.9756737
2025/2/7 00:48,0.8,-29.04623345,270.9537666
2025/2/7 00:49,0.82,-30.93118742,269.0688126
